epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
0,,,9.999999747378752e-05,0.0,,70.70618438720703,,127.9070816040039,,0,0.0,0.011226296424865723,,0.011137864552438259,,0.011109133251011372,,1.832716464996338,,1.8651148080825806,,1.892209529876709,,621.9410400390625,,622.0177001953125,,622.0679321289062,
0,,,9.999999747378752e-05,0.0,,67.7806396484375,,125.23267364501953,,1,0.0,0.02174726501107216,,0.021490344777703285,,0.02116071805357933,,1.7308788299560547,,1.7308197021484375,,1.7361963987350464,,618.7337036132812,,618.8072509765625,,618.9208984375,
0,,,9.999999747378752e-05,0.0,,73.6183090209961,,130.35818481445312,,2,0.0,0.03336925432085991,,0.032600563019514084,,0.03188531845808029,,1.680863857269287,,1.678443193435669,,1.6850417852401733,,615.1132202148438,,615.3262329101562,,615.5745239257812,
0,,,9.999999747378752e-05,0.0,,74.150634765625,,130.4395751953125,,3,0.0,0.04386914521455765,,0.042601704597473145,,0.04129225015640259,,1.6362555027008057,,1.6259918212890625,,1.615410566329956,,611.6665649414062,,611.9683837890625,,612.2845458984375,
0,,,9.999999747378752e-05,0.0,,77.37045288085938,,132.99746704101562,,4,0.0,0.054613418877124786,,0.05251167342066765,,0.050381261855363846,,1.580670952796936,,1.5504450798034668,,1.5420573949813843,,607.843994140625,,608.1803588867188,,608.7710571289062,
0,,206.32533264160156,9.999999747378752e-05,,0.0,,78.16397094726562,,128.16136169433594,4,0.0,,0.0638187974691391,,0.06062496453523636,,0.057185400277376175,,1.4290823936462402,,1.4044932126998901,,1.3944698572158813,,602.8707885742188,,603.6038208007812,,604.663818359375
0,202.11224365234375,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,64.55889892578125,,122.75584411621094,,5,1.0,0.06440725177526474,,0.061608102172613144,,0.05820464715361595,,1.5350546836853027,,1.5020160675048828,,1.48185133934021,,604.1972045898438,,604.6597290039062,,605.51513671875,
1,,,9.999999747378752e-05,0.0,,62.4327507019043,,118.7082290649414,,6,1.0,0.07480919361114502,,0.0707111731171608,,0.06595927476882935,,1.508448839187622,,1.4606385231018066,,1.441232681274414,,600.44921875,,601.0287475585938,,602.3265380859375,
1,,,9.999999747378752e-05,0.0,,69.33414459228516,,126.12255096435547,,7,1.0,0.08506587892770767,,0.07956592738628387,,0.0736566111445427,,1.4754785299301147,,1.4175479412078857,,1.398031234741211,,596.5057983398438,,597.25048828125,,598.9346313476562,
1,,,9.999999747378752e-05,0.0,,70.13236999511719,,127.05633544921875,,8,1.0,0.09479894489049911,,0.08796071261167526,,0.08056867122650146,,1.4251580238342285,,1.363938570022583,,1.3430466651916504,,592.1832885742188,,593.1707153320312,,595.3651123046875,
1,,,9.999999747378752e-05,0.0,,71.85424041748047,,123.02074432373047,,9,1.0,0.10478043556213379,,0.09608174115419388,,0.08729560673236847,,1.408148169517517,,1.3482921123504639,,1.3191741704940796,,588.3485717773438,,589.8768920898438,,592.3506469726562,
1,,216.05368041992188,9.999999747378752e-05,,0.0,,80.87844848632812,,135.17523193359375,9,1.0,,0.1138540655374527,,0.10450189560651779,,0.09409532696008682,,1.2890264987945557,,1.2124528884887695,,1.1830570697784424,,581.617431640625,,582.6476440429688,,585.86474609375
1,191.19522094726562,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
2,,,9.999999747378752e-05,0.0,,63.82767105102539,,122.59113311767578,,10,2.0,0.11404287815093994,,0.10477979481220245,,0.09471502155065536,,1.3797686100006104,,1.298154592514038,,1.2666194438934326,,584.3563842773438,,585.2942504882812,,588.1702270507812,
2,,,9.999999747378752e-05,0.0,,67.79121398925781,,116.3287124633789,,11,2.0,0.12394791841506958,,0.11341829597949982,,0.10253274440765381,,1.3588069677352905,,1.2743101119995117,,1.241864800453186,,580.2229614257812,,581.2904052734375,,584.3998413085938,
2,,,9.999999747378752e-05,0.0,,70.62837982177734,,121.86570739746094,,12,2.0,0.1331176608800888,,0.12215619534254074,,0.11095096915960312,,1.3425779342651367,,1.2484478950500488,,1.2176713943481445,,576.4075927734375,,577.0341186523438,,580.2715454101562,
2,,,9.999999747378752e-05,0.0,,57.715614318847656,,116.66542053222656,,13,2.0,0.142351433634758,,0.12989692389965057,,0.1190146803855896,,1.299764633178711,,1.196080207824707,,1.1631911993026733,,571.4390258789062,,571.8782958984375,,574.8882446289062,
2,,,9.999999747378752e-05,0.0,,70.27871704101562,,135.72027587890625,,14,2.0,0.1509472280740738,,0.13936875760555267,,0.1289549320936203,,1.2723745107650757,,1.1661823987960815,,1.1299904584884644,,567.0902709960938,,566.6740112304688,,569.2420654296875,
2,,251.90106201171875,9.999999747378752e-05,,0.0,,99.37296295166016,,152.52810668945312,14,2.0,,0.15857559442520142,,0.1474747508764267,,0.1380438506603241,,1.232764720916748,,1.1245397329330444,,1.0968519449234009,,562.3375854492188,,561.1486206054688,,563.65673828125
2,188.6825714111328,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
3,,,9.999999747378752e-05,0.0,,72.7554931640625,,130.93173217773438,,15,3.0,0.1596316397190094,,0.14783921837806702,,0.13890571892261505,,1.2704391479492188,,1.1534271240234375,,1.118801236152649,,563.7533569335938,,562.555908203125,,564.4635620117188,
3,,,9.999999747378752e-05,0.0,,64.90975952148438,,126.6451416015625,,16,3.0,0.16812776029109955,,0.15668867528438568,,0.14869748055934906,,1.242286205291748,,1.1226305961608887,,1.0919028520584106,,559.1629638671875,,557.16162109375,,558.7634887695312,
3,,,9.999999747378752e-05,0.0,,66.3480224609375,,126.90655517578125,,17,3.0,0.17591004073619843,,0.16610461473464966,,0.15974655747413635,,1.2398021221160889,,1.1033751964569092,,1.0711674690246582,,556.0703735351562,,551.9951782226562,,552.657470703125,
3,,,9.999999747378752e-05,0.0,,63.59489059448242,,128.55198669433594,,18,3.0,0.18363772332668304,,0.17536775767803192,,0.17112627625465393,,1.2053751945495605,,1.067891001701355,,1.0384730100631714,,551.146484375,,545.5873413085938,,545.322265625,
