perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Abca13,503.83477783203125,330.57598876953125,997.0,0.6684292991278523,False,235,997,128
Adgrb3,513.805908203125,271.01776123046875,679.0,0.6008574945059371,False,221,679,128
Adgrl2,541.1519165039062,139.2509002685547,285.0,0.5114003499348958,False,106,285,128
Adgrl3,498.3028869628906,278.5945129394531,417.0,0.3319076428310477,False,241,417,128
Adgrv1,471.9682922363281,433.81512451171875,739.0,0.4129700615538312,False,313,739,128
Aff3,548.1318359375,190.90097045898438,574.0,0.6674199120923617,False,144,574,128
Ahnak,479.0080261230469,763.5565185546875,1193.0,0.359969389308728,False,537,1193,128
Ahnak2,544.9066162109375,496.8537902832031,576.0,0.13740661409166124,False,357,576,128
Akap9,510.1042175292969,242.6185302734375,589.0,0.5880839893490025,False,208,589,128
Ank2,585.0116577148438,404.9425048828125,662.0,0.38830437328880285,False,304,662,128
Ano1,514.9929809570312,170.7394256591797,483.0,0.6465022243081165,False,125,483,128
Apob,514.6060180664062,157.0159454345703,415.0,0.6216483242540475,False,129,415,128
Aspm,525.3958740234375,323.2666931152344,577.0,0.4397457658314829,False,229,577,128
Cacna1e,493.67559814453125,406.0041809082031,654.0,0.3791985001403622,False,283,654,128
Casp8,498.4930725097656,377.2681579589844,287.0,0.3145231984633602,False,283,287,128
Cdh10,475.555908203125,247.38229370117188,605.0,0.5911036467749226,False,196,605,128
Cdh2,521.848876953125,341.9169921875,1145.0,0.7013825395742358,False,255,1145,128
Cdkn2b,487.1730041503906,126.76206970214844,326.0,0.6111592953921827,False,89,326,128
Cfh,503.92315673828125,373.5489196777344,718.0,0.47973688067167913,False,291,718,128
Col11a1,536.14599609375,323.5959777832031,522.0,0.380084333748653,False,249,522,128
Col1a2,491.895751953125,204.85470581054688,569.0,0.6399741549902516,False,153,569,128
Col22a1,491.5330810546875,413.056884765625,907.0,0.5445899837203694,False,323,907,128
Col4a4,524.3865356445312,254.117919921875,543.0,0.5320111971972836,False,187,543,128
Col6a3,510.4932861328125,451.911865234375,1003.0,0.549439815319666,False,350,1003,128
Col6a6,490.3726501464844,595.9599609375,908.0,0.34365643068557267,False,462,908,128
Crebbp,495.771484375,338.0228576660156,326.0,0.03687993149084547,False,242,326,128
Csmd1,528.45849609375,329.1230163574219,617.0,0.4665753381565286,False,251,617,128
Csmd2,513.006591796875,427.2006530761719,757.0,0.4356662442851098,False,349,757,128
Csmd3,509.82977294921875,337.628173828125,630.0,0.46408226376488093,False,235,630,128
Cttn,574.342529296875,160.71792602539062,543.0,0.7040185524394279,False,126,543,128
Cubn,494.6348571777344,764.5554809570312,423.0,0.8074597658558659,False,516,423,128
D630045J12Rik,510.0384826660156,586.574951171875,942.0,0.37730896903197986,False,422,942,128
Dgkb,496.21575927734375,480.73394775390625,428.0,0.12321015830351928,False,319,428,128
Dmd,471.98052978515625,407.73492431640625,751.0,0.45707733113660953,False,316,751,128
Dnah10,512.8311157226562,415.52227783203125,782.0,0.4686415884500879,False,276,782,128
Dnah11,510.6759948730469,423.6429748535156,945.0,0.5517005557105654,False,306,945,128
Dnah17,517.997802734375,497.0073547363281,798.0,0.37718376599457626,False,331,798,128
Dnah3,513.9405517578125,262.5494079589844,589.0,0.5542454873361895,False,223,589,128
Dnah6,499.75750732421875,405.2991027832031,584.0,0.30599468701506316,False,323,584,128
Dnah7a,499.38531494140625,242.2017059326172,309.0,0.21617570895593144,False,198,309,128
Dnah9,488.6039733886719,476.7631530761719,749.0,0.36346708534556493,False,329,749,128
Dscam,500.7699890136719,306.3264465332031,1437.0,0.786829195175224,False,229,1437,128
Dst,484.2197265625,266.27874755859375,279.0,0.04559588688676075,False,219,279,128
Ep300,517.9553833007812,211.6853790283203,390.0,0.45721697685046075,False,166,390,128
Epha5,495.2149353027344,355.1578674316406,1098.0,0.6765411043427682,False,267,1098,128
Erbb4,491.18560791015625,349.9722900390625,649.0,0.46075147913857856,False,236,649,128
Erich3,526.0151977539062,299.8136901855469,762.0,0.6065437136672613,False,228,762,128
Fam135b,491.1177673339844,558.0548095703125,1194.0,0.5326174124201738,False,393,1194,128
Fat1,523.0781860351562,5276.02685546875,22643.0,0.7669908203211258,False,4131,22643,128
Fat2,506.4886169433594,464.2420654296875,841.0,0.44798803159371287,False,309,841,128
Fat3,527.6546630859375,308.2287292480469,345.0,0.1065833934839221,False,221,345,128
Fat4,537.4110717773438,499.8245849609375,610.0,0.1806154344902664,False,352,610,128
Fgf15,589.949462890625,186.1019287109375,490.0,0.6202001454878826,False,133,490,128
Fgf3,506.3663024902344,201.42066955566406,1563.0,0.8711320092414178,False,175,1563,128
Flg,546.43603515625,460.0706481933594,579.0,0.20540475268849848,False,339,579,128
Fmn2,507.2976379394531,311.3860778808594,727.0,0.5716835242354066,False,241,727,128
Herc2,498.82861328125,371.2829895019531,653.0,0.43141961791431377,False,297,653,128
Hmcn1,533.803955078125,392.05914306640625,607.0,0.35410355343260913,False,302,607,128
Hras,512.470947265625,464.1856384277344,576.0,0.1941221555074056,False,361,576,128
Kmt2c,512.008056640625,133.524658203125,360.0,0.6290981716579861,False,114,360,128
