perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Abca13,503.65692138671875,332.4045104980469,997.0,0.6665952753279369,False,235,128,128
Adgrb3,506.4420471191406,272.3567810058594,679.0,0.5988854477086019,False,221,128,128
Adgrl2,554.6983032226562,140.33790588378906,285.0,0.5075862951445997,False,106,128,128
Adgrl3,506.8974304199219,280.9847717285156,417.0,0.32617560736567,False,241,128,128
Adgrv1,489.7193298339844,437.2238464355469,739.0,0.40835744731319773,False,313,128,128
Aff3,527.4327392578125,191.9149627685547,574.0,0.6656533749676747,False,144,128,128
Ahnak,499.1427001953125,769.2534790039062,1193.0,0.3551940662163401,False,537,128,128
Ahnak2,514.7465209960938,501.9126892089844,576.0,0.12862380345662436,False,357,128,128
Akap9,511.89410400390625,245.06314086914062,589.0,0.583933546911476,False,208,128,128
Ank2,555.3668823242188,407.11480712890625,662.0,0.38502294995633496,False,304,128,128
Ano1,526.51708984375,172.5139923095703,483.0,0.6428281732721112,False,125,128,128
Apob,514.85205078125,158.5607452392578,415.0,0.6179259150861257,False,129,128,128
Aspm,553.7682495117188,326.7239074707031,577.0,0.4337540598428022,False,229,128,128
Cacna1e,501.17340087890625,408.7884826660156,654.0,0.37494115800303424,False,283,128,128
Casp8,477.8110046386719,380.59588623046875,287.0,0.32611807048943814,False,283,128,128
Cdh10,492.9549865722656,249.10768127441406,605.0,0.5882517664885718,False,196,128,128
Cdh2,497.8710021972656,344.5945739746094,1145.0,0.6990440401968477,False,255,128,128
Cdkn2b,497.38690185546875,127.80825805664062,326.0,0.6079501286606116,False,89,128,128
Cfh,491.89996337890625,376.9845886230469,718.0,0.4749518264302968,False,291,128,128
Col11a1,519.4186401367188,326.3218994140625,522.0,0.3748622616588841,False,249,128,128
Col1a2,517.8888549804688,206.00067138671875,569.0,0.6379601557351164,False,153,128,128
Col22a1,514.500732421875,416.2004699707031,907.0,0.5411240683895224,False,323,128,128
Col4a4,526.7015991210938,255.94485473632812,543.0,0.5286466763603533,False,187,128,128
Col6a3,534.2407836914062,455.4906311035156,1003.0,0.5458717536355776,False,350,128,128
Col6a6,466.84515380859375,599.1174926757812,908.0,0.3401789728240295,False,462,128,128
Crebbp,474.8389892578125,341.37860107421875,326.0,0.04717362292705138,False,242,128,128
Csmd1,525.0842895507812,331.2320861816406,617.0,0.4631570726391562,False,251,128,128
Csmd2,525.1563720703125,432.12713623046875,757.0,0.4291583405145723,False,349,128,128
Csmd3,523.5726928710938,337.5391540527344,630.0,0.4642235649956597,False,235,128,128
Cttn,541.2059326171875,161.6408233642578,543.0,0.7023189256643503,False,126,128,128
Cubn,484.64593505859375,769.1519165039062,423.0,0.8183260437444593,False,516,128,128
D630045J12Rik,497.6038818359375,591.2514038085938,942.0,0.372344581944168,False,422,128,128
Dgkb,486.072998046875,482.8417663574219,428.0,0.12813496812481748,False,319,128,128
Dmd,492.4670715332031,410.64764404296875,751.0,0.45319887610789783,False,316,128,128
Dnah10,516.6577758789062,417.83441162109375,782.0,0.4656848956251998,False,276,128,128
Dnah11,503.0048828125,427.81915283203125,945.0,0.5472813197544643,False,306,128,128
Dnah17,544.5281372070312,501.4895324707031,798.0,0.3715670019164121,False,331,128,128
Dnah3,523.7325439453125,264.83782958984375,589.0,0.5503602214094334,False,223,128,128
Dnah6,508.3802185058594,409.3742980957031,584.0,0.2990166128498234,False,323,128,128
Dnah7a,524.8189086914062,243.4550018310547,309.0,0.2121197351745803,False,198,128,128
Dnah9,531.640380859375,480.5194091796875,749.0,0.35845205716997663,False,329,128,128
Dscam,522.1315307617188,309.27093505859375,1437.0,0.7847801426175409,False,229,128,128
Dst,508.9074401855469,267.0382385253906,279.0,0.04287369704161066,False,219,128,128
Ep300,497.6915588378906,212.56285095214844,390.0,0.45496704884064504,False,166,128,128
Epha5,479.3288879394531,358.4460754394531,1098.0,0.6735463793811902,False,267,128,128
Erbb4,455.7828369140625,351.44354248046875,649.0,0.45848452622423924,False,236,128,128
Erich3,542.0521240234375,301.86199951171875,762.0,0.6038556436854084,False,228,128,128
Fam135b,479.6064453125,561.52001953125,1194.0,0.5297152265232412,False,393,128,128
Fat1,522.9801635742188,5327.701171875,22643.0,0.7647086882535441,False,4131,128,128
Fat2,508.4546813964844,465.94195556640625,841.0,0.44596675913625894,False,309,128,128
Fat3,527.74560546875,308.53411865234375,345.0,0.10569820680480073,False,221,128,128
Fat4,503.9372253417969,505.15966796875,610.0,0.17186939677254098,False,352,128,128
Fgf15,594.6468505859375,187.24253845214844,490.0,0.6178723705058196,False,133,128,128
Fgf3,526.6998291015625,203.41981506347656,1563.0,0.8698529654104437,False,175,128,128
Flg,519.7298583984375,462.6524963378906,579.0,0.20094560217980895,False,339,128,128
Fmn2,513.5706787109375,314.3210144042969,727.0,0.5676464726213248,False,241,128,128
Herc2,499.4344177246094,373.2946472167969,653.0,0.4283389782284887,False,297,128,128
Hmcn1,528.3402709960938,394.92724609375,607.0,0.34937850725906094,False,302,128,128
Hras,495.69970703125,465.9955139160156,576.0,0.19098001056247288,False,361,128,128
Kmt2c,509.6788635253906,134.7239532470703,360.0,0.6257667965359158,False,114,128,128
Lama2,513.7970581054688,563.5787963867188,484.0,0.16441900079900568,False,319,128,128
Lama5,493.138427734375,382.25933837890625,792.0,0.5173493202286538,False,269,128,128
Lrp1b,473.9799499511719,306.2720947265625,494.0,0.3800160025778087,False,240,128,128
Lrp2,497.2865905761719,256.9713134765625,834.0,0.6918809190928508,False,225,128,128
Macf1,538.3619384765625,288.6942138671875,423.0,0.3175077686354905,False,207,128,128
Magi2,474.7718505859375,394.534423828125,975.0,0.5953493088942308,False,304,128,128
Mgam,498.5848388671875,312.6978454589844,565.0,0.446552485913302,False,264,128,128
Muc16,497.23150634765625,365.48095703125,471.0,0.22403193836252655,False,275,128,128
Muc2,481.3828430175781,349.61297607421875,1107.0,0.6841797867441565,False,282,128,128
Muc3,531.512451171875,574.7133178710938,631.0,0.08920234885722068,False,428,128,128
Muc5b,573.15625,325.81719970703125,393.0,0.17094860125437342,False,241,128,128
Myh1,537.8609008789062,510.3564453125,2381.0,0.7856545798771525,False,462,128,128
Myh2,509.6923522949219,254.53085327148438,1098.0,0.7681868367290671,False,211,128,128
Nav3,492.8697204589844,560.86865234375,1271.0,0.5587186055517309,False,424,128,128
Neb,495.2778625488281,275.9522399902344,477.0,0.42148377360537864,False,205,128,128
Notch1,501.2066345214844,2982.240478515625,11588.0,0.7426440733072467,False,1787,128,128
Notch2,520.7490844726562,639.381103515625,2319.0,0.7242858544563928,False,421,128,128
Obscn,480.6244812011719,295.8448486328125,752.0,0.6065892970308344,False,249,128,128
P3h2,555.5631713867188,388.0521240234375,714.0,0.4565096302192752,False,315,128,128
Pak7,491.5778503417969,389.64337158203125,261.0,0.49288648115720785,False,320,128,128
Pcdh11x,511.615478515625,358.63995361328125,724.0,0.5046409480479541,False,285,128,128
Pcdh15,497.037109375,351.7839050292969,1117.0,0.6850636481384987,False,254,128,128
Pclo,531.7960815429688,449.39898681640625,405.0,0.10962712794174383,False,294,128,128
Peg3,499.2825927734375,329.22662353515625,986.0,0.6660987590921337,False,253,128,128
Pik3cg,506.0191345214844,427.1717529296875,639.0,0.3314996041788928,False,311,128,128
Pkhd1,521.00244140625,349.34185791015625,836.0,0.5821269642223011,False,268,128,128
Pkhd1l1,500.5364990234375,283.636962890625,792.0,0.6418725216027462,False,221,128,128
Ppfia1,554.6565551757812,228.8459930419922,285.0,0.1970316033614309,False,198,128,128
Prex2,517.2636108398438,374.3749084472656,1057.0,0.6458137100782728,False,279,128,128
Prkdc,481.5272216796875,370.9492492675781,525.0,0.2934300013950893,False,261,128,128
Ptprd,522.3771362304688,453.3242492675781,611.0,0.2580617851594466,False,349,128,128
Reln,487.1578674316406,354.847412109375,479.0,0.25919120645224425,False,281,128,128
Ros1,558.2999877929688,457.4360656738281,937.0,0.5118078274558931,False,329,128,128
Rp1,509.0688171386719,299.5873107910156,855.0,0.6496054844549525,False,264,128,128
