perturbation_id,time_label,n_cells,pooled_mass,is_control
Abca13,P4,235,235.0,False
Abca13,P60,997,997.0,False
Adgrb3,P4,221,221.0,False
Adgrb3,P60,679,679.0,False
Adgrl2,P4,106,106.0,False
Adgrl2,P60,285,285.0,False
Adgrl3,P4,241,241.0,False
Adgrl3,P60,417,417.0,False
Adgrv1,P4,313,313.0,False
Adgrv1,P60,739,739.0,False
Aff3,P4,144,144.0,False
Aff3,P60,574,574.0,False
Ahnak,P4,537,537.0,False
Ahnak,P60,1193,1193.0,False
Ahnak2,P4,357,357.0,False
Ahnak2,P60,576,576.0,False
Akap9,P4,208,208.0,False
Akap9,P60,589,589.0,False
Ank2,P4,304,304.0,False
Ank2,P60,662,662.0,False
Ano1,P4,125,125.0,False
Ano1,P60,483,483.0,False
Apob,P4,129,129.0,False
Apob,P60,415,415.0,False
Aspm,P4,229,229.0,False
Aspm,P60,577,577.0,False
Cacna1e,P4,283,283.0,False
Cacna1e,P60,654,654.0,False
Casp8,P4,283,283.0,False
Casp8,P60,287,287.0,False
Ccnd1,P4,268,268.0,False
Ccnd1,P60,544,544.0,False
Cdh10,P4,196,196.0,False
Cdh10,P60,605,605.0,False
Cdh2,P4,255,255.0,False
Cdh2,P60,1145,1145.0,False
Cdkn2a,P4,176,176.0,False
Cdkn2a,P60,318,318.0,False
Cdkn2b,P4,89,89.0,False
Cdkn2b,P60,326,326.0,False
Cfh,P4,291,291.0,False
Cfh,P60,718,718.0,False
Col11a1,P4,249,249.0,False
Col11a1,P60,522,522.0,False
Col1a2,P4,153,153.0,False
Col1a2,P60,569,569.0,False
Col22a1,P4,323,323.0,False
Col22a1,P60,907,907.0,False
Col4a4,P4,187,187.0,False
Col4a4,P60,543,543.0,False
Col6a3,P4,350,350.0,False
Col6a3,P60,1003,1003.0,False
Col6a5,P4,269,269.0,False
Col6a5,P60,457,457.0,False
Col6a6,P4,462,462.0,False
Col6a6,P60,908,908.0,False
Crebbp,P4,242,242.0,False
Crebbp,P60,326,326.0,False
Csmd1,P4,251,251.0,False
Csmd1,P60,617,617.0,False
Csmd2,P4,349,349.0,False
Csmd2,P60,757,757.0,False
Csmd3,P4,235,235.0,False
Csmd3,P60,630,630.0,False
Cttn,P4,126,126.0,False
Cttn,P60,543,543.0,False
Cubn,P4,516,516.0,False
Cubn,P60,423,423.0,False
D630045J12Rik,P4,422,422.0,False
D630045J12Rik,P60,942,942.0,False
Dgkb,P4,319,319.0,False
Dgkb,P60,428,428.0,False
Dmd,P4,316,316.0,False
Dmd,P60,751,751.0,False
Dnah10,P4,276,276.0,False
Dnah10,P60,782,782.0,False
Dnah11,P4,306,306.0,False
Dnah11,P60,945,945.0,False
Dnah17,P4,331,331.0,False
Dnah17,P60,798,798.0,False
Dnah3,P4,223,223.0,False
Dnah3,P60,589,589.0,False
Dnah5,P4,165,165.0,False
Dnah5,P60,998,998.0,False
Dnah6,P4,323,323.0,False
Dnah6,P60,584,584.0,False
Dnah7a,P4,198,198.0,False
Dnah7a,P60,309,309.0,False
Dnah8,P4,125,125.0,False
Dnah8,P60,330,330.0,False
Dnah9,P4,329,329.0,False
Dnah9,P60,749,749.0,False
Dscam,P4,229,229.0,False
Dscam,P60,1437,1437.0,False
Dst,P4,219,219.0,False
Dst,P60,279,279.0,False
Ep300,P4,166,166.0,False
Ep300,P60,390,390.0,False
Epha5,P4,267,267.0,False
Epha5,P60,1098,1098.0,False
Epha7,P4,267,267.0,False
Epha7,P60,619,619.0,False
Erbb4,P4,236,236.0,False
Erbb4,P60,649,649.0,False
Erich3,P4,228,228.0,False
Erich3,P60,762,762.0,False
Fadd,P4,116,116.0,False
Fadd,P60,165,165.0,False
Fam135b,P4,393,393.0,False
Fam135b,P60,1194,1194.0,False
Fat1,P4,4131,4131.0,False
Fat1,P60,22643,22643.0,False
Fat2,P4,309,309.0,False
Fat2,P60,841,841.0,False
Fat3,P4,221,221.0,False
Fat3,P60,345,345.0,False
