perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Abca13,435.12628173828125,322.9614562988281,997.0,0.6760667439329708,False,235,512,512
Adgrb3,462.8940734863281,267.2750549316406,679.0,0.6063695803657723,False,221,512,512
Adgrl2,524.1209716796875,142.07052612304688,285.0,0.5015069258840461,False,106,285,285
Adgrl3,453.7289733886719,271.8012390136719,417.0,0.348198467593113,False,241,417,417
Adgrv1,427.3580627441406,423.4335632324219,739.0,0.4270181823647877,False,313,512,512
Aff3,458.8276672363281,184.5146942138672,574.0,0.6785458288957018,False,144,512,512
Ahnak,433.2264709472656,782.2356567382812,1193.0,0.3443121066736955,False,537,512,512
Ahnak2,464.8835754394531,487.4603576660156,576.0,0.15371465682983398,False,357,512,512
Akap9,463.3825378417969,253.77317810058594,589.0,0.5691457078088524,False,208,512,512
Ank2,476.5670166015625,397.7065734863281,662.0,0.39923478325328077,False,304,512,512
Ano1,477.36419677734375,166.53750610351562,483.0,0.6552018507173589,False,125,483,483
Apob,458.09857177734375,155.20411682128906,415.0,0.6260141763342433,False,129,415,415
Aspm,459.3078918457031,327.04388427734375,577.0,0.43319950731829504,False,229,512,512
Cacna1e,462.40966796875,412.663330078125,654.0,0.36901631486525227,False,283,512,512
Casp8,439.5574645996094,383.2680969238281,287.0,0.33542890914225826,False,283,287,287
Cdh10,451.9415283203125,248.4768829345703,605.0,0.589294408372611,False,196,512,512
Cdh2,462.0269775390625,355.9932556152344,1145.0,0.6890888597246861,False,255,512,512
Cdkn2b,455.7684326171875,125.64725494384766,326.0,0.6145789725648845,False,89,326,326
Cfh,440.9736633300781,361.0448913574219,718.0,0.49715196189774113,False,291,512,512
Col11a1,451.46356201171875,326.19384765625,522.0,0.37510757153975094,False,249,512,512
Col1a2,459.7444763183594,207.6226043701172,569.0,0.635109658400497,False,153,512,512
Col22a1,447.6492919921875,419.6532287597656,907.0,0.5373172781038967,False,323,512,512
Col4a4,470.45465087890625,256.4411926269531,543.0,0.5277326102634381,False,187,512,512
Col6a3,456.68011474609375,461.0138854980469,1003.0,0.5403650194436223,False,350,512,512
Col6a6,452.3102722167969,597.0496215820312,908.0,0.34245636389644135,False,462,512,512
Crebbp,466.53240966796875,325.2350769042969,326.0,0.0023463898641200155,False,242,326,326
Csmd1,475.8810729980469,327.6242370605469,617.0,0.4690044780218041,False,251,512,512
Csmd2,449.0048828125,450.37164306640625,757.0,0.40505727468110136,False,349,512,512
Csmd3,466.533935546875,339.39208984375,630.0,0.4612823970734127,False,235,512,512
Cttn,467.54461669921875,159.60894775390625,543.0,0.7060608696981469,False,126,512,512
Cubn,461.6798400878906,788.6719970703125,423.0,0.8644728063127955,False,516,423,423
D630045J12Rik,457.0290222167969,574.8048706054688,942.0,0.38980374670332407,False,422,512,512
Dgkb,447.96734619140625,459.84234619140625,428.0,0.07439800512010807,False,319,428,428
Dmd,437.4801025390625,420.2820129394531,751.0,0.4403701558728986,False,316,512,512
Dnah10,446.681640625,435.5865478515625,782.0,0.44298395415401215,False,276,512,512
Dnah11,456.9754638671875,434.03631591796875,945.0,0.5407023111979167,False,306,512,512
Dnah17,445.0124816894531,484.14227294921875,798.0,0.3933054223694001,False,331,512,512
Dnah3,470.35626220703125,254.70252990722656,589.0,0.5675678609384948,False,223,512,512
Dnah6,463.3047180175781,408.50653076171875,584.0,0.30050251581897475,False,323,512,512
Dnah7a,454.8329772949219,240.25296020507812,309.0,0.22248232943340412,False,198,309,309
Dnah9,450.72308349609375,486.997314453125,749.0,0.3498033184871495,False,329,512,512
Dscam,457.7657470703125,306.5175476074219,1437.0,0.7866962090414601,False,229,512,512
Dst,461.930908203125,272.9514465332031,279.0,0.021679403106798834,False,219,279,279
Ep300,457.7635498046875,210.25418090820312,390.0,0.460886715619992,False,166,390,390
Epha5,440.4287109375,348.44097900390625,1098.0,0.6826584890674806,False,267,512,512
Erbb4,427.7715759277344,366.2384338378906,649.0,0.435688083454714,False,236,512,512
Erich3,441.8789367675781,292.76837158203125,762.0,0.6157895386062582,False,228,512,512
Fam135b,455.1755676269531,559.289794921875,1194.0,0.531583086330088,False,393,512,512
Fat1,450.7237854003906,5144.32080078125,22643.0,0.7728074548080532,False,4131,512,512
Fat2,444.7803649902344,472.133544921875,841.0,0.4386045839216706,False,309,512,512
Fat3,450.4844055175781,325.8948669433594,345.0,0.055377197265625,False,221,345,345
Fat4,459.3981628417969,520.5371704101562,610.0,0.14666037637679302,False,352,512,512
Fgf15,466.43695068359375,187.75662231445312,490.0,0.6168232197664222,False,133,490,490
Fgf3,463.7065124511719,207.45297241210938,1563.0,0.8672725704337112,False,175,512,512
Flg,468.18438720703125,459.8653869628906,579.0,0.20575926258568114,False,339,512,512
Fmn2,440.2923583984375,314.8793640136719,727.0,0.5668784539014142,False,241,512,512
Herc2,439.4385986328125,376.7547302246094,653.0,0.42304022936506985,False,297,512,512
Hmcn1,468.8467102050781,392.11016845703125,607.0,0.3540194918335564,False,302,512,512
Hras,451.0090026855469,458.0264587402344,576.0,0.2048151757982042,False,361,512,512
Kmt2c,479.43414306640625,125.06661224365234,360.0,0.6525927437676324,False,114,360,360
Lama2,438.3999938964844,525.6748046875,484.0,0.08610496836260331,False,319,484,484
Lama5,456.7726135253906,380.52020263671875,792.0,0.5195451986910117,False,269,512,512
Lrp1b,440.12158203125,308.5685729980469,494.0,0.3753672611375569,False,240,494,494
Lrp2,444.99072265625,262.2431335449219,834.0,0.6855597919125637,False,225,512,512
Macf1,463.75152587890625,286.9324951171875,423.0,0.32167258837544327,False,207,423,423
Magi2,452.54583740234375,389.9430236816406,975.0,0.6000584372495994,False,304,512,512
Mgam,453.0198059082031,306.673828125,565.0,0.4572144634955752,False,264,512,512
Muc16,455.49920654296875,353.1358337402344,471.0,0.2502423912096935,False,275,471,471
Muc2,437.5773010253906,342.9698791503906,1107.0,0.6901807776419235,False,282,512,512
Muc3,442.406494140625,557.7318115234375,631.0,0.11611440329090729,False,428,512,512
Muc5b,446.7006530761719,319.6841735839844,393.0,0.1865542656896072,False,241,393,393
