perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Abca13,429.449951171875,321.6646423339844,997.0,0.6773674600461541,False,235,768,768
Adgrb3,456.13037109375,269.2995300292969,679.0,0.6033880264664259,False,221,679,679
Adgrl2,508.9645690917969,142.89524841308594,285.0,0.49861316346285633,False,106,285,285
Adgrl3,452.6296081542969,269.4798889160156,417.0,0.35376525439804407,False,241,417,417
Adgrv1,412.7937316894531,423.7407531738281,739.0,0.42660249908818926,False,313,739,739
Aff3,438.6543884277344,186.0084991455078,574.0,0.6759433812796031,False,144,574,574
Ahnak,438.964599609375,774.1966552734375,1193.0,0.3510505823357607,False,537,768,768
Ahnak2,458.8132019042969,495.2354431152344,576.0,0.14021624459160698,False,357,576,576
Akap9,459.1319580078125,252.9114990234375,589.0,0.5706086604016342,False,208,589,589
Ank2,465.981689453125,395.8471374511719,662.0,0.40204359901635667,False,304,662,662
Ano1,467.2618713378906,166.41651916503906,483.0,0.6554523412732111,False,125,483,483
Apob,455.14605712890625,155.04840087890625,415.0,0.626389395472515,False,129,415,415
Aspm,456.6573486328125,327.81219482421875,577.0,0.43186794657847705,False,229,577,577
Cacna1e,441.15631103515625,407.2388610839844,654.0,0.37731060996332666,False,283,654,654
Casp8,440.5769958496094,382.1534423828125,287.0,0.33154509541049654,False,283,287,287
Cdh10,444.0091552734375,246.50408935546875,605.0,0.5925552242058367,False,196,605,605
Cdh2,454.2428894042969,355.3081359863281,1145.0,0.6896872174791894,False,255,768,768
Cdkn2b,452.38800048828125,127.08768463134766,326.0,0.6101604765909581,False,89,326,326
Cfh,433.30914306640625,365.7644348144531,718.0,0.4905787815954692,False,291,718,718
Col11a1,446.5316467285156,326.66375732421875,522.0,0.3742073614478568,False,249,522,522
Col1a2,460.8855895996094,207.43052673339844,569.0,0.6354472289395457,False,153,569,569
Col22a1,434.3979797363281,422.818603515625,907.0,0.5338273390125413,False,323,768,768
Col4a4,456.6324462890625,253.37863159179688,543.0,0.5333726858346283,False,187,543,543
Col6a3,443.3553771972656,463.1851501464844,1003.0,0.538200249106197,False,350,768,768
Col6a6,441.8105163574219,601.788818359375,908.0,0.33723698418571035,False,462,768,768
Crebbp,464.28436279296875,320.40020751953125,326.0,0.017177277547450152,False,242,326,326
Csmd1,457.4256591796875,328.99151611328125,617.0,0.4667884665911163,False,251,617,617
Csmd2,437.13336181640625,446.7198181152344,757.0,0.40988134991382513,False,349,757,757
Csmd3,455.2489318847656,339.5029602050781,630.0,0.46110641237289185,False,235,630,630
Cttn,457.44842529296875,157.89324951171875,543.0,0.7092205349692104,False,126,543,543
Cubn,456.7171630859375,784.591796875,423.0,0.8548269429669031,False,516,423,423
D630045J12Rik,438.3236999511719,572.0186767578125,942.0,0.392761489641388,False,422,768,768
Dgkb,444.005126953125,459.6130676269531,428.0,0.07386230753961011,False,319,428,428
Dmd,420.85601806640625,418.53192138671875,751.0,0.4427005041455143,False,316,751,751
Dnah10,440.0335693359375,439.6217346191406,782.0,0.43782386877347745,False,276,768,768
Dnah11,446.3690490722656,429.75274658203125,945.0,0.5452351888020833,False,306,768,768
Dnah17,450.6779479980469,487.25653076171875,798.0,0.38940284365699407,False,331,768,768
Dnah3,460.7684326171875,250.90036010742188,589.0,0.5740231577123568,False,223,589,589
Dnah6,456.57586669921875,414.3235168457031,584.0,0.29054192320941247,False,323,584,584
Dnah7a,446.6263732910156,239.4084014892578,309.0,0.22521552916097795,False,198,309,309
Dnah9,427.65203857421875,496.85687255859375,749.0,0.33663968950788553,False,329,749,749
Dscam,448.07757568359375,306.2301940917969,1437.0,0.786896176693252,False,229,768,768
Dst,453.6497497558594,273.82720947265625,279.0,0.018540467839941756,False,219,279,279
Ep300,447.6734924316406,208.5110626220703,390.0,0.4653562496869992,False,166,390,390
Epha5,434.6914367675781,348.24200439453125,1098.0,0.6828397045587147,False,267,768,768
