perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Abca13,142.8704833984375,617.9655151367188,997.0,0.3801750098929601,False,235,768,768
Adgrb3,144.44754028320312,606.1696166992188,679.0,0.10726124197464101,False,221,679,679
Adgrl2,147.4415740966797,282.8194580078125,285.0,0.007651024533991228,False,106,285,285
Adgrl3,139.01626586914062,514.6803588867188,417.0,0.23424546495616008,False,241,417,417
Adgrv1,141.42193603515625,783.0145263671875,739.0,0.05955957559835927,False,313,739,739
Aff3,145.43008422851562,258.69720458984375,574.0,0.5493080059410388,False,144,574,574
Ahnak,144.8898162841797,1166.6175537109375,1193.0,0.02211437241329631,False,537,768,768
Ahnak2,138.10403442382812,1027.2601318359375,576.0,0.7834377288818359,False,357,576,576
Akap9,134.179931640625,611.4163208007812,589.0,0.03805826961083404,False,208,589,589
Ank2,137.33665466308594,877.7642822265625,662.0,0.32592791877124244,False,304,662,662
Ano1,155.0755157470703,368.6300048828125,483.0,0.23679088015980848,False,125,483,483
Apob,141.94754028320312,392.2857666015625,415.0,0.05473309252635542,False,129,415,415
Aspm,135.66903686523438,683.5028076171875,577.0,0.18458025583568025,False,229,577,577
Cacna1e,137.138916015625,732.4566040039062,654.0,0.11996422630566705,False,283,654,654
Casp8,152.74830627441406,656.7633666992188,287.0,1.288374099997278,False,283,287,287
Cdh10,138.18316650390625,499.66400146484375,605.0,0.17410908848786158,False,196,605,605
Cdh2,144.9264373779297,609.4080200195312,1145.0,0.467765921380322,False,255,768,768
Cdkn2b,144.94644165039062,239.3820343017578,326.0,0.2656992812829515,False,89,326,326
Cfh,135.61016845703125,805.3922729492188,718.0,0.12171625758944116,False,291,718,718
Col11a1,132.09336853027344,546.8129272460938,522.0,0.04753434338332136,False,249,522,522
Col1a2,142.85064697265625,411.6584777832031,569.0,0.27652288614551296,False,153,569,569
Col22a1,129.5582275390625,949.083984375,907.0,0.046399100744211684,False,323,768,768
Col4a4,140.57110595703125,504.6453857421875,543.0,0.07063464872525323,False,187,543,543
Col6a3,141.18597412109375,866.2449951171875,1003.0,0.1363459669818669,False,350,768,768
Col6a6,138.9138641357422,1403.38720703125,908.0,0.5455806244837555,False,462,768,768
Crebbp,141.42898559570312,715.2252197265625,326.0,1.1939423917992715,False,242,326,326
Csmd1,136.5559844970703,638.0130004882812,617.0,0.0340567268853829,False,251,617,617
Csmd2,145.6118927001953,936.4332275390625,757.0,0.2370320046751156,False,349,757,757
Csmd3,135.14199829101562,523.0843505859375,630.0,0.16970738002232144,False,235,630,630
Cttn,140.83172607421875,373.46466064453125,543.0,0.3122197778185428,False,126,543,543
Cubn,135.37120056152344,1392.8551025390625,423.0,2.2928016608488475,False,516,423,423
D630045J12Rik,142.44381713867188,1077.3779296875,942.0,0.1437133011544586,False,422,768,768
Dgkb,133.00546264648438,706.535400390625,428.0,0.6507836457724884,False,319,428,428
Dmd,131.48895263671875,947.0484008789062,751.0,0.26104980143662615,False,316,751,751
Dnah10,142.05484008789062,699.43505859375,782.0,0.10558176650415602,False,276,768,768
Dnah11,141.1865234375,994.3451538085938,945.0,0.05221709397734788,False,306,768,768
Dnah17,141.82196044921875,885.9616088867188,798.0,0.1102275800585448,False,331,768,768
Dnah3,139.31643676757812,531.2743530273438,589.0,0.09800619180417021,False,223,589,589
Dnah6,139.95907592773438,1016.8163452148438,584.0,0.7411238787925407,False,323,584,584
Dnah7a,153.74758911132812,470.1964416503906,309.0,0.5216713322019114,False,198,309,309
