epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
0,,,9.999999747378752e-05,0.0,,70.70618438720703,,127.9070816040039,,0,0.0,0.0112262964248657,,0.0111378645524382,,0.0111091332510113,,1.832716464996338,,1.8651148080825808,,1.892209529876709,,621.9410400390625,,622.0177001953125,,622.0679321289062,
0,,,9.999999747378752e-05,0.0,,67.7806396484375,,125.23267364501952,,1,0.0,0.0217472650110721,,0.0214903447777032,,0.0211607180535793,,1.730878829956055,,1.7308197021484375,,1.7361963987350464,,618.7337036132812,,618.8072509765625,,618.9208984375,
0,,,9.999999747378752e-05,0.0,,73.6183090209961,,130.35818481445312,,2,0.0,0.0333692543208599,,0.032600563019514,,0.0318853184580802,,1.680863857269287,,1.678443193435669,,1.6850417852401731,,615.1132202148438,,615.3262329101562,,615.5745239257812,
0,,,9.999999747378752e-05,0.0,,74.150634765625,,130.4395751953125,,3,0.0,0.0438691452145576,,0.0426017045974731,,0.0412922501564025,,1.6362555027008057,,1.6259918212890625,,1.615410566329956,,611.6665649414062,,611.9683837890625,,612.2845458984375,
0,,,9.999999747378752e-05,0.0,,77.37045288085938,,132.99746704101562,,4,0.0,0.0546134188771247,,0.0525116734206676,,0.0503812618553638,,1.580670952796936,,1.5504450798034668,,1.5420573949813845,,607.843994140625,,608.1803588867188,,608.7710571289062,
0,,206.3253326416016,9.999999747378752e-05,,0.0,,78.16397094726562,,128.16136169433594,4,0.0,,0.0638187974691391,,0.0606249645352363,,0.0571854002773761,,1.4290823936462402,,1.40449321269989,,1.3944698572158811,,602.8707885742188,,603.6038208007812,,604.663818359375
0,202.11224365234372,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,64.55889892578125,,122.75584411621094,,5,1.0,0.0644072517752647,,0.0616081021726131,,0.0582046471536159,,1.5350546836853027,,1.5020160675048828,,1.48185133934021,,604.1972045898438,,604.6597290039062,,605.51513671875,
1,,,9.999999747378752e-05,0.0,,62.4327507019043,,118.7082290649414,,6,1.0,0.074809193611145,,0.0707111731171608,,0.0659592747688293,,1.508448839187622,,1.4606385231018066,,1.441232681274414,,600.44921875,,601.0287475585938,,602.3265380859375,
1,,,9.999999747378752e-05,0.0,,69.33414459228516,,126.12255096435548,,7,1.0,0.0850658789277076,,0.0795659273862838,,0.0736566111445427,,1.4754785299301147,,1.4175479412078855,,1.398031234741211,,596.5057983398438,,597.25048828125,,598.9346313476562,
1,,,9.999999747378752e-05,0.0,,70.13236999511719,,127.05633544921876,,8,1.0,0.0947989448904991,,0.0879607126116752,,0.0805686712265014,,1.4251580238342283,,1.363938570022583,,1.3430466651916504,,592.1832885742188,,593.1707153320312,,595.3651123046875,
1,,,9.999999747378752e-05,0.0,,71.85424041748047,,123.02074432373048,,9,1.0,0.1047804355621337,,0.0960817411541938,,0.0872956067323684,,1.408148169517517,,1.348292112350464,,1.3191741704940796,,588.3485717773438,,589.8768920898438,,592.3506469726562,
1,,216.05368041992188,9.999999747378752e-05,,0.0,,80.87844848632812,,135.17523193359375,9,1.0,,0.1138540655374527,,0.1045018956065177,,0.0940953269600868,,1.2890264987945557,,1.2124528884887695,,1.1830570697784424,,581.617431640625,,582.6476440429688,,585.86474609375
1,191.1952209472656,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
2,,,9.999999747378752e-05,0.0,,63.82767105102539,,122.59113311767578,,10,2.0,0.1140428781509399,,0.1047797948122024,,0.0947150215506553,,1.3797686100006104,,1.298154592514038,,1.2666194438934326,,584.3563842773438,,585.2942504882812,,588.1702270507812,
2,,,9.999999747378752e-05,0.0,,67.79121398925781,,116.3287124633789,,11,2.0,0.1239479184150695,,0.1134182959794998,,0.1025327444076538,,1.3588069677352903,,1.2743101119995115,,1.241864800453186,,580.2229614257812,,581.2904052734375,,584.3998413085938,
2,,,9.999999747378752e-05,0.0,,70.62837982177734,,121.86570739746094,,12,2.0,0.1331176608800888,,0.1221561953425407,,0.1109509691596031,,1.3425779342651367,,1.2484478950500488,,1.2176713943481443,,576.4075927734375,,577.0341186523438,,580.2715454101562,
2,,,9.999999747378752e-05,0.0,,57.715614318847656,,116.66542053222656,,13,2.0,0.142351433634758,,0.1298969238996505,,0.1190146803855896,,1.299764633178711,,1.196080207824707,,1.1631911993026731,,571.4390258789062,,571.8782958984375,,574.8882446289062,
2,,,9.999999747378752e-05,0.0,,70.27871704101562,,135.72027587890625,,14,2.0,0.1509472280740738,,0.1393687576055526,,0.1289549320936203,,1.2723745107650757,,1.1661823987960815,,1.1299904584884644,,567.0902709960938,,566.6740112304688,,569.2420654296875,
