epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
0,,,9.999999747378752e-05,0.0,,68.60040283203125,,124.37052154541016,,0,0.0,0.0099395243450999,,0.0099161984398961,,0.0098960697650909,,1.4433424472808838,,1.4610522985458374,,1.4814252853393557,,621.5614624023438,,621.611083984375,,621.6644897460938,
0,,,9.999999747378752e-05,0.0,,66.31888580322266,,122.33432006835938,,1,0.0,0.0202455017715692,,0.0201270617544651,,0.019937802106142,,1.3616807460784912,,1.382807970046997,,1.3922960758209229,,617.5880737304688,,617.7435913085938,,617.8604736328125,
0,,,9.999999747378752e-05,0.0,,72.41323852539062,,127.52819061279295,,2,0.0,0.0314389765262603,,0.0310028921812772,,0.0304074231535196,,1.3374981880187988,,1.3428444862365725,,1.3407096862792969,,613.3023071289062,,613.5095825195312,,613.71142578125,
0,,,9.999999747378752e-05,0.0,,72.97909545898438,,127.22547912597656,,3,0.0,0.0418606884777545,,0.0408691577613353,,0.0397218577563762,,1.2953824996948242,,1.287445902824402,,1.2898828983306885,,608.94677734375,,609.228515625,,609.6973876953125,
0,,,9.999999747378752e-05,0.0,,76.06452941894531,,129.0561065673828,,4,0.0,0.0519774220883846,,0.0500296242535114,,0.0483125559985637,,1.2393120527267456,,1.2270174026489258,,1.229245662689209,,604.2056274414062,,604.779541015625,,605.503173828125,
0,,201.84371948242188,9.999999747378752e-05,,0.0,,76.76173400878906,,125.08197784423828,4,0.0,,0.0612794645130634,,0.0585844591259956,,0.0555633716285228,,1.09886634349823,,1.0794188976287842,,1.0717917680740356,,597.4279174804688,,598.1575317382812,,599.3480224609375
0,197.37814331054688,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,63.27433776855469,,119.48374938964844,,5,1.0,0.0617262907326221,,0.0592869780957698,,0.0563151501119136,,1.2074503898620603,,1.1870957612991333,,1.1879222393035889,,599.7007446289062,,600.2779541015625,,601.5215454101562,
1,,,9.999999747378752e-05,0.0,,61.87620544433594,,116.18204498291016,,6,1.0,0.071340724825859,,0.067680113017559,,0.0639298036694526,,1.1864992380142212,,1.1606450080871582,,1.1630375385284424,,595.2979736328125,,596.183837890625,,597.8181762695312,
1,,,9.999999747378752e-05,0.0,,68.1769027709961,,122.52595520019533,,7,1.0,0.0807526484131813,,0.076246790587902,,0.0710677281022071,,1.1667819023132324,,1.130839705467224,,1.1303284168243408,,590.8740844726562,,591.7420654296875,,593.95849609375,
1,,,9.999999747378752e-05,0.0,,68.9627685546875,,123.06608581542967,,8,1.0,0.0901665315032005,,0.0844126939773559,,0.0781948789954185,,1.1400949954986572,,1.1061179637908936,,1.10188889503479,,586.0820922851562,,587.4251708984375,,590.0214233398438,
1,,,9.999999747378752e-05,0.0,,71.13838195800781,,120.09400939941406,,9,1.0,0.0996521934866905,,0.0926317647099495,,0.0853387787938118,,1.1165635585784912,,1.0827826261520386,,1.069232702255249,,581.1719970703125,,582.9569702148438,,585.7305297851562,
1,,213.49794006347656,9.999999747378752e-05,,0.0,,80.54014587402344,,132.95779418945312,9,1.0,,0.1077656149864196,,0.1000557467341423,,0.0917592495679855,,1.01283061504364,,0.9631230235099792,,0.9467121958732604,,572.931884765625,,574.1358032226562,,577.4774169921875
1,186.95608520507807,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
